id,subject,number,answer,student_id
868,상황,38,3,6
869,상황,39,3,6
870,상황,40,3,6
871,헌법,1,3,8
872,헌법,2,2,8
873,헌법,3,4,8
874,헌법,4,3,8
875,헌법,5,1,8
876,헌법,6,3,8
877,헌법,7,4,8
878,헌법,8,2,8
879,헌법,9,1,8
880,헌법,10,4,8
881,헌법,11,2,8
882,헌법,12,1,8
883,헌법,13,4,8
884,헌법,14,2,8
885,헌법,15,3,8
886,헌법,16,2,8
887,헌법,17,3,8
888,헌법,18,1,8
889,헌법,19,3,8
890,헌법,20,4,8
891,헌법,21,3,8
892,헌법,22,3,8
893,헌법,23,1,8
894,헌법,24,2,8
895,헌법,25,3,8
896,언어,1,2,8
897,언어,2,2,8
898,언어,3,5,8
899,언어,4,4,8
900,언어,5,3,8
901,언어,6,2,8
902,언어,7,5,8
903,언어,8,2,8
904,언어,9,2,8
905,언어,10,4,8
906,언어,11,4,8
907,언어,12,3,8
908,언어,13,1,8
909,언어,14,3,8
910,언어,15,4,8
911,언어,16,3,8
912,언어,17,1,8
913,언어,18,5,8
914,언어,19,2,8
915,언어,20,3,8
916,언어,21,5,8
917,언어,22,4,8
918,언어,23,4,8
919,언어,24,2,8
920,언어,25,5,8
921,언어,26,4,8
922,언어,27,1,8
923,언어,28,2,8
924,언어,29,4,8
925,언어,30,2,8
926,언어,31,4,8
927,언어,32,5,8
928,언어,33,5,8
929,언어,34,2,8
930,언어,35,5,8
931,언어,36,3,8
932,언어,37,5,8
933,언어,38,3,8
934,언어,39,5,8
935,언어,40,2,8
936,자료,1,1,8
937,자료,2,5,8
938,자료,3,4,8
939,자료,4,3,8
940,자료,5,5,8
941,자료,6,2,8
942,자료,7,3,8
943,자료,8,5,8
944,자료,9,1,8
945,자료,10,4,8
946,자료,11,5,8
947,자료,12,1,8
948,자료,13,3,8
949,자료,14,4,8
950,자료,15,5,8
951,자료,16,1,8
952,자료,17,2,8
953,자료,18,4,8
954,자료,19,2,8
955,자료,20,4,8
956,자료,21,1,8
957,자료,22,5,8
